1000000001D00005000020260101DEPOSIT - SALARY              XXXXXXXXXXXXXXXXXXXXXX
1000000002D00010000020260101DEPOSIT - TRANSFER            XXXXXXXXXXXXXXXXXXXXXX
1000000003W00002500020260102ATM WITHDRAWAL                XXXXXXXXXXXXXXXXXXXXXX
1000000001W00002000020260102ATM WITHDRAWAL                XXXXXXXXXXXXXXXXXXXXXX
1000000004D00005000020260103DEPOSIT - CHEQUE              XXXXXXXXXXXXXXXXXXXXXX
1000000005X00001000020260103INVALID TRANSACTION TYPE      XXXXXXXXXXXXXXXXXXXXXX
1000000002W00002000020260104TRANSFER TO SAVINGS           XXXXXXXXXXXXXXXXXXXXXX
9999999999D00001000020260104DEPOSIT TO NONEXISTENT ACCT   XXXXXXXXXXXXXXXXXXXXXX
1000000003D00003000020260105DEPOSIT - SALARY              XXXXXXXXXXXXXXXXXXXXXX
1000000001W00000000020260105ZERO AMOUNT TEST              XXXXXXXXXXXXXXXXXXXXXX
1000000005D00001000020260106DEPOSIT TO CLOSED ACCT        XXXXXXXXXXXXXXXXXXXXXX
1000000006D00001000020260106DEPOSIT TO FROZEN ACCT        XXXXXXXXXXXXXXXXXXXXXX
1000000003W00030000020260106WITHDRAWAL EXCEEDS BAL        XXXXXXXXXXXXXXXXXXXXXX
